model_name,variables,filter_rule,method,variable,coefficient,p_value
model_1,Skewness + Median + Fear and Greed Index,Skewness <= 0.347599,2pt,Median,-5.4717273735599527e-08,0.8170968561552348
model_1,Skewness + Median + Fear and Greed Index,Skewness <= 0.347599,2pt,Fear and Greed Index,0.0001509260153717235,0.6527338439125998
model_1,Skewness + Median + Fear and Greed Index,Skewness <= 0.532648,1pt,const,-0.004147381256759427,0.7966379162727159
model_1,Skewness + Median + Fear and Greed Index,Skewness <= 0.532648,1pt,Skewness,-0.005825127942743024,0.6653372729264415
model_1,Skewness + Median + Fear and Greed Index,Skewness <= 0.532648,1pt,Median,-6.395898463583835e-08,0.7649023820036442
model_1,Skewness + Median + Fear and Greed Index,Skewness <= 0.532648,1pt,Fear and Greed Index,0.00018576931636932618,0.5536819725787772
model_1,Skewness + Median + Fear and Greed Index,Skewness <= 0.532648,2pt,const,-0.004179766246462618,0.7951359411075918
model_1,Skewness + Median + Fear and Greed Index,Skewness <= 0.532648,2pt,Skewness,-0.005892300167292914,0.6622366506581814
model_1,Skewness + Median + Fear and Greed Index,Skewness <= 0.532648,2pt,Median,-6.397673571319715e-08,0.7648244943386181
model_1,Skewness + Median + Fear and Greed Index,Skewness <= 0.532648,2pt,Fear and Greed Index,0.00018640508832038963,0.5525081366859524
model_1,Skewness + Median + Fear and Greed Index,Kurtosis >= 0.998813,1pt,const,0.0013283006408249293,0.9354420767167343
model_1,Skewness + Median + Fear and Greed Index,Kurtosis >= 0.998813,1pt,Skewness,-0.005849022142138008,0.5679032155188146
model_1,Skewness + Median + Fear and Greed Index,Kurtosis >= 0.998813,1pt,Median,-3.360688948320126e-07,0.12663191282607422
model_1,Skewness + Median + Fear and Greed Index,Kurtosis >= 0.998813,1pt,Fear and Greed Index,0.0004287027020261639,0.19078796968921272
model_1,Skewness + Median + Fear and Greed Index,Kurtosis >= 0.998813,2pt,const,0.0012995088647975196,0.9368530153675727
model_1,Skewness + Median + Fear and Greed Index,Kurtosis >= 0.998813,2pt,Skewness,-0.005896414162640178,0.5651869518165187
model_1,Skewness + Median + Fear and Greed Index,Kurtosis >= 0.998813,2pt,Median,-3.3619886555952653e-07,0.12648684711973865
model_1,Skewness + Median + Fear and Greed Index,Kurtosis >= 0.998813,2pt,Fear and Greed Index,0.0004294386554015963,0.19018600006486677
model_1,Skewness + Median + Fear and Greed Index,Kurtosis >= 1.134304,1pt,const,0.0024509620529457946,0.8894748937650151
model_1,Skewness + Median + Fear and Greed Index,Kurtosis >= 1.134304,1pt,Skewness,-0.0041088732596523325,0.7037413810891369
model_1,Skewness + Median + Fear and Greed Index,Kurtosis >= 1.134304,1pt,Median,-2.642803121767606e-07,0.2845117154191455
model_1,Skewness + Median + Fear and Greed Index,Kurtosis >= 1.134304,1pt,Fear and Greed Index,0.0003733883611763758,0.2952545979299131
model_1,Skewness + Median + Fear and Greed Index,Kurtosis >= 1.134304,2pt,const,0.0024174181565132964,0.8910085253134771
model_1,Skewness + Median + Fear and Greed Index,Kurtosis >= 1.134304,2pt,Skewness,-0.004161902280511805,0.7004144008867379
model_1,Skewness + Median + Fear and Greed Index,Kurtosis >= 1.134304,2pt,Median,-2.644482445662044e-07,0.2842047923140442
model_1,Skewness + Median + Fear and Greed Index,Kurtosis >= 1.134304,2pt,Fear and Greed Index,0.000374243730100198,0.29433535190976723
model_1,Skewness + Median + Fear and Greed Index,Kurtosis >= 1.270652,1pt,const,-0.007033610995573344,0.7174025486018907
model_1,Skewness + Median + Fear and Greed Index,Kurtosis >= 1.270652,1pt,Skewness,-0.006583944597017594,0.5558808203804175
model_1,Skewness + Median + Fear and Greed Index,Kurtosis >= 1.270652,1pt,Median,-3.7119509388207155e-07,0.17781911051110544
model_1,Skewness + Median + Fear and Greed Index,Kurtosis >= 1.270652,1pt,Fear and Greed Index,0.0005603297515882799,0.14755654738572457
model_1,Skewness + Median + Fear and Greed Index,Kurtosis >= 1.270652,2pt,const,-0.007068914138986266,0.7161247999955529
model_1,Skewness + Median + Fear and Greed Index,Kurtosis >= 1.270652,2pt,Skewness,-0.0066311553123030035,0.5534689628813747
model_1,Skewness + Median + Fear and Greed Index,Kurtosis >= 1.270652,2pt,Median,-3.713374301605623e-07,0.17764927084575519
model_1,Skewness + Median + Fear and Greed Index,Kurtosis >= 1.270652,2pt,Fear and Greed Index,0.0005611800151110665,0.14710052891013536
model_1,Skewness + Median + Fear and Greed Index,Kurtosis <= 1.921191,1pt,const,-0.021192749373998402,0.19424627970759822
model_1,Skewness + Median + Fear and Greed Index,Kurtosis <= 1.921191,1pt,Skewness,0.010577668487079065,0.6068397261035872
model_1,Skewness + Median + Fear and Greed Index,Kurtosis <= 1.921191,1pt,Median,-3.1110877626525725e-07,0.1629848111005495
model_1,Skewness + Median + Fear and Greed Index,Kurtosis <= 1.921191,1pt,Fear and Greed Index,0.0008060110948233671,0.016579317752923022
model_1,Skewness + Median + Fear and Greed Index,Kurtosis <= 1.921191,2pt,const,-0.02118271656172949,0.19461711294518566
model_1,Skewness + Median + Fear and Greed Index,Kurtosis <= 1.921191,2pt,Skewness,0.01061261695435628,0.6074025265554082
model_1,Skewness + Median + Fear and Greed Index,Kurtosis <= 1.921191,2pt,Median,-3.1107142465759437e-07,0.1630460365163888
model_1,Skewness + Median + Fear and Greed Index,Kurtosis <= 1.921191,2pt,Fear and Greed Index,0.0008057263738708359,0.01669421641437788
model_1,Skewness + Median + Fear and Greed Index,Kurtosis <= 2.295363,1pt,const,-0.01203265788875695,0.4711466568492889
model_1,Skewness + Median + Fear and Greed Index,Kurtosis <= 2.295363,1pt,Skewness,-0.0039705885375107865,0.8451838539872178
model_1,Skewness + Median + Fear and Greed Index,Kurtosis <= 2.295363,1pt,Median,-1.2115228526040675e-07,0.5983942452305597
model_1,Skewness + Median + Fear and Greed Index,Kurtosis <= 2.295363,1pt,Fear and Greed Index,0.0004325123134783969,0.20577379878560392
model_1,Skewness + Median + Fear and Greed Index,Kurtosis <= 2.295363,2pt,const,-0.012021870325241414,0.47165216313954517
model_1,Skewness + Median + Fear and Greed Index,Kurtosis <= 2.295363,2pt,Skewness,-0.003915049391426944,0.8479187512902864
model_1,Skewness + Median + Fear and Greed Index,Kurtosis <= 2.295363,2pt,Median,-1.2109138915881552e-07,0.5986064367187409
model_1,Skewness + Median + Fear and Greed Index,Kurtosis <= 2.295363,2pt,Fear and Greed Index,0.00043219221332281034,0.2064168605520454
model_1,Skewness + Median + Fear and Greed Index,Kurtosis <= 3.240887,1pt,const,-0.003172467868219288,0.8404702791898004
model_1,Skewness + Median + Fear and Greed Index,Kurtosis <= 3.240887,1pt,Skewness,-0.01207117478885416,0.47285106173509206
model_1,Skewness + Median + Fear and Greed Index,Kurtosis <= 3.240887,1pt,Median,-1.6824286758392802e-07,0.4343157434010806
model_1,Skewness + Median + Fear and Greed Index,Kurtosis <= 3.240887,1pt,Fear and Greed Index,0.00033668034983527225,0.2991358365669416
model_1,Skewness + Median + Fear and Greed Index,Kurtosis <= 3.240887,2pt,const,-0.0032106375069043407,0.838616462309411
model_1,Skewness + Median + Fear and Greed Index,Kurtosis <= 3.240887,2pt,Skewness,-0.01222393482209814,0.46885859478630765
model_1,Skewness + Median + Fear and Greed Index,Kurtosis <= 3.240887,2pt,Median,-1.6850547609445054e-07,0.4336270956293763
model_1,Skewness + Median + Fear and Greed Index,Kurtosis <= 3.240887,2pt,Fear and Greed Index,0.0003379005894199056,0.29772235442750156
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118,1pt,const,-0.0073586889996437995,0.6378302047192834
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118,1pt,Skewness,-0.010720234548973594,0.29882793535655816
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118,1pt,Median,-3.043018395664773e-07,0.16685207625987555
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118,1pt,Fear and Greed Index,0.0005683016239696405,0.06624803264333586
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118,2pt,const,-0.00735669431141904,0.6379129108578442
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118,2pt,Skewness,-0.01071302863514663,0.29889124659939204
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118,2pt,Median,-3.0431951291976517e-07,0.16683413566481017
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118,2pt,Fear and Greed Index,0.0005682989880362321,0.06625604232597443
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180,1pt,const,-0.025110990445076826,0.16007213595135045
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180,1pt,Skewness,-0.006833653209987037,0.5348739940418032
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180,1pt,Median,-2.2896270847155572e-07,0.33013488939644353
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180,1pt,Fear and Greed Index,0.0007646766766658064,0.01906620271196454
