model_name,variables,filter_rule,num_rules,n_obs_after_filter,retention_ratio,n_oos,r2_1pt,r2_2pt,mse_1pt,mse_2pt,r2_os_1pt,r2_os_2pt,delta_1pt_minus_2pt,all_p_le_0_1_1pt,all_p_le_0_1_2pt,all_p_le_0_15_1pt,all_p_le_0_15_2pt,max_p_1pt,max_p_2pt,coef_1pt_Skewness,p_1pt_Skewness,coef_2pt_Skewness,p_2pt_Skewness,coef_1pt_Median,p_1pt_Median,coef_2pt_Median,p_2pt_Median,coef_1pt_Fear and Greed Index,p_1pt_Fear and Greed Index,coef_2pt_Fear and Greed Index,p_2pt_Fear and Greed Index,coef_1pt_Kurtosis,p_1pt_Kurtosis,coef_2pt_Kurtosis,p_2pt_Kurtosis
model_1,Skewness + Median + Fear and Greed Index,Skewness >= -0.523269 AND VIX <= 21.908000,2,180,0.6792452830188679,59,0.012936421310298929,0.012963477212761476,0.005733978396242281,0.005733821225049299,-0.17772145160467523,-0.1782911223475394,0.0005696707428641812,False,False,False,False,0.5937673836789255,0.590663198300933,-0.008253545758828485,0.5937673836789255,-0.008329090867591343,0.590663198300933,-3.37792843016416e-07,0.1395296495181447,-3.3824918008483384e-07,0.13913574692723776,0.0003197889094794482,0.36894400383349646,0.0003205218219751003,0.36793409259171206,,,,
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Std <= 6617.949372,2,185,0.6981132075471698,64,0.04746286566632085,0.04745402654453601,0.006428117022286618,0.006428176672359208,-0.26328638456733144,-0.26384602315435846,0.0005596385870270115,False,False,False,False,0.7111216908526767,0.7128122570905553,0.0057702293751413156,0.7111216908526767,0.005728301758510911,0.7128122570905553,-2.0686180011960635e-07,0.4013968765778906,-2.068524171695801e-07,0.40149783473090306,0.0008659172081546714,0.012854834793514255,0.0008662504177462711,0.012824486870570468,,,,
model_1,Skewness + Median + Fear and Greed Index,Std <= 6617.949372 AND Median >= 21085.300000,2,185,0.6981132075471698,64,0.04746286566632085,0.04745402654453601,0.006428117022286618,0.006428176672359208,-0.26328638456733144,-0.26384602315435846,0.0005596385870270115,False,False,False,False,0.7111216908526767,0.7128122570905553,0.0057702293751413156,0.7111216908526767,0.005728301758510911,0.7128122570905553,-2.0686180011960635e-07,0.4013968765778906,-2.068524171695801e-07,0.40149783473090306,0.0008659172081546714,0.012854834793514255,0.0008662504177462711,0.012824486870570468,,,,
model_1,Skewness + Median + Fear and Greed Index,Mean <= 96175.901226 AND T-3 Return <= 0.066016,2,191,0.720754716981132,71,0.019251015211920852,0.019284077001601285,0.008304527986227925,0.00830424803431165,-0.12256993570458952,-0.12311949663467914,0.0005495609300896209,False,False,False,False,0.6467071595193119,0.6418243984355265,-0.006214363452478215,0.6467071595193119,-0.006325051850489585,0.6418243984355265,-1.8784381015857063e-07,0.552961260515298,-1.8758218002709352e-07,0.5535188146377641,0.0006730240536050956,0.059248116160543866,0.0006741020162598294,0.05896672664833219,,,,
model_1,Skewness + Median + Fear and Greed Index,Median <= 96165.020000 AND T-3 Return <= 0.066016,2,191,0.720754716981132,71,0.019251015211920852,0.019284077001601285,0.008304527986227925,0.00830424803431165,-0.12256993570458952,-0.12311949663467914,0.0005495609300896209,False,False,False,False,0.6467071595193119,0.6418243984355265,-0.006214363452478215,0.6467071595193119,-0.006325051850489585,0.6418243984355265,-1.8784381015857063e-07,0.552961260515298,-1.8758218002709352e-07,0.5535188146377641,0.0006730240536050956,0.059248116160543866,0.0006741020162598294,0.05896672664833219,,,,
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND VIX <= 21.908000,2,181,0.6830188679245283,60,0.024588332477080255,0.024587482246448467,0.006216141700535921,0.006216147118919011,-0.2164561227859665,-0.21699783141424156,0.0005417086282750727,False,False,False,False,0.8873224645033461,0.8877521474022158,0.001817750248233672,0.8873224645033461,0.0018101974148706107,0.8877521474022158,-4.137906941729744e-07,0.0808167716337045,-4.1378033424900057e-07,0.08088625322342817,0.0005154413553397079,0.1448498004951574,0.0005155011161241959,0.14482301062640168,,,,
model_1,Skewness + Median + Fear and Greed Index,Median >= 11541.060000 AND VIX <= 21.908000,2,181,0.6830188679245283,60,0.024588332477080255,0.024587482246448467,0.006216141700535921,0.006216147118919011,-0.2164561227859665,-0.21699783141424156,0.0005417086282750727,False,False,False,False,0.8873224645033461,0.8877521474022158,0.001817750248233672,0.8873224645033461,0.0018101974148706107,0.8877521474022158,-4.137906941729744e-07,0.0808167716337045,-4.1378033424900057e-07,0.08088625322342817,0.0005154413553397079,0.1448498004951574,0.0005155011161241959,0.14482301062640168,,,,
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND T-1 Return >= -0.093502,2,192,0.7245283018867924,71,0.027119861829506986,0.027119996469646135,0.006702406326116476,0.006702405398548027,-0.26659664621253576,-0.26712438987864706,0.0005277436661113022,False,False,False,False,0.9742220988631096,0.9739038681401146,-0.0004380841313033775,0.9742220988631096,-0.00044319751082990506,0.9739038681401146,-2.0784813199861034e-07,0.38138770162284896,-2.0787137674674817e-07,0.3814042170046378,0.0007182394975826612,0.03693508807383507,0.0007182963148352989,0.03693130511811232,,,,
model_1,Skewness + Median + Fear and Greed Index,Median >= 21085.300000 AND T-1 Return >= -0.093502,2,192,0.7245283018867924,71,0.027119861829506986,0.027119996469646135,0.006702406326116476,0.006702405398548027,-0.26659664621253576,-0.26712438987864706,0.0005277436661113022,False,False,False,False,0.9742220988631096,0.9739038681401146,-0.0004380841313033775,0.9742220988631096,-0.00044319751082990506,0.9739038681401146,-2.0784813199861034e-07,0.38138770162284896,-2.0787137674674817e-07,0.3814042170046378,0.0007182394975826612,0.03693508807383507,0.0007182963148352989,0.03693130511811232,,,,
model_1,Skewness + Median + Fear and Greed Index,Std >= 1391.698789 AND T-3 Return >= -0.093502,2,190,0.7169811320754716,69,0.016581460253272784,0.016613472848283628,0.0069642658729726845,0.006964039169678077,-0.23533498893296612,-0.23585822197110873,0.000523233038142612,False,False,False,False,0.5321885407141715,0.5290325376415057,-0.006861240809520675,0.5321885407141715,-0.006907430890771851,0.5290325376415057,-3.0905887678837193e-07,0.2094941268245141,-3.0933445885854053e-07,0.20911007206108229,0.0005684215970455932,0.09841599693681805,0.0005692306605508684,0.09799246310362289,,,,
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND T-2 Return <= 0.106004,2,189,0.7132075471698113,68,0.05287594357402625,0.05285456991736881,0.006642494854064093,0.006642644754600774,-0.27736712793903684,-0.2778636767489957,0.0004965488099588633,False,False,False,False,0.3712459543693295,0.37168195212006294,0.021452703238354444,0.17010813476895018,0.02141646751971307,0.17058138636801667,-2.1414217341050322e-07,0.3712459543693295,-2.139672102787803e-07,0.37168195212006294,0.0006912246613151186,0.046166379969813896,0.0006913969159527853,0.04612631447503844,,,,
model_1,Skewness + Median + Fear and Greed Index,Median >= 21085.300000 AND T-2 Return <= 0.106004,2,189,0.7132075471698113,68,0.05287594357402625,0.05285456991736881,0.006642494854064093,0.006642644754600774,-0.27736712793903684,-0.2778636767489957,0.0004965488099588633,False,False,False,False,0.3712459543693295,0.37168195212006294,0.021452703238354444,0.17010813476895018,0.02141646751971307,0.17058138636801667,-2.1414217341050322e-07,0.3712459543693295,-2.139672102787803e-07,0.37168195212006294,0.0006912246613151186,0.046166379969813896,0.0006913969159527853,0.04612631447503844,,,,
model_1,Skewness + Median + Fear and Greed Index,Skewness >= -0.268431 AND Kurtosis <= 2.295363,2,181,0.6830188679245283,61,0.0009157503813181922,0.0009184980795283737,0.006960243036837038,0.006960223894660248,-0.279259360744613,-0.279746047280907,0.00048668653629402314,False,False,False,False,0.9955292785831453,0.995871738941909,0.0029369834876627815,0.9244725322486151,0.003021743750989151,0.9224659537958638,-1.367159573404835e-09,0.9955292785831453,-1.2622900573987062e-09,0.995871738941909,0.00011351222244701816,0.7572296419324374,0.0001131216777626729,0.7581681976048374,,,,
model_2,Kurtosis + Median + Fear and Greed Index,Kurtosis >= 0.998813 AND T-2 Return >= -0.036365,2,190,0.7169811320754716,69,0.0441448506546156,0.04406479875893543,0.006552297536871803,0.006552846285120159,-0.1278310368117057,-0.12842775219283875,0.0005967153811330395,True,True,True,True,0.05394814161913651,0.05429113753975142,,,,,-4.742543680740568e-07,0.032136706802649656,-4.695808423482345e-07,0.033517853114902095,0.0006091640012723885,0.05394814161913651,0.0006081827379502519,0.05429113753975142,-0.004979473673564449,0.03272672639847588,-0.0049616231775551295,0.033024990971921186
model_2,Kurtosis + Median + Fear and Greed Index,Std >= 905.962517 AND Fear and Greed Index >= 22.000000,2,215,0.8113207547169812,94,0.031157769691161352,0.03103330505230295,0.006450290515731193,0.0064511191677598285,-0.07093457118219182,-0.0712704982014174,0.0003359270192255792,True,True,True,True,0.07792034861171263,0.07833626035230995,,,,,-4.014378917370842e-07,0.06925040876462948,-3.9863302006990834e-07,0.07086345920025494,0.0005500829279309082,0.07792034861171263,0.0005492815318354978,0.07833626035230995,-0.004589350528754907,0.04677536410535035,-0.004567314592732411,0.04753332723649676
